,,,,,,,"  86,205 ","  1,200.77 ",,,"  822,384 ","  199,061 ","  105,871 ","  7,000 ",,"  1,134,315 ",,,
Bill Date,Dispatch Date,Delay,Invoice Number,E Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,
1/Apr/26,1/Apr/26,0,8631930001,302221061975,VIJAY AGENCIES,NAKODAR,235,  3.01 ,PB08ES6983,3,"  1,945 ",,  -   ,,19225,Self,,RECD,
1/Apr/26,1/Apr/26,0,8631930002-32,352221079759-372221216691,S.K. TRADERS,HOSHIARPUR,580,  5.89 ,PB10HY1266,6,"  3,755 ","  1,745 ",  -   ,,19226,Aman Road,,Pending,
1/Apr/26,1/Apr/26,0,8631930003,392221091403,D.K. TRADING CO,PHAGWARA,245,  3.18 ,PB10FF1166,3,"  1,925 ",  475 ,  -   ,,19227,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930004-33,372221102217-362221216698,LEKH RAJ & BROTHERS,NAWASAHAR,539,  5.68 ,HP836748,7,"  3,100 ","  1,400 ",  -   ,,19228,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930005,392221125450,PARSHOTAM SINGH SAWRAN SINGH ,PHAGWARA,195,  3.21 ,PB10JR5386,3,"  1,950 ",  450 ,  -   ,,19229,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930006,332221126260,ISHWER CHAND & SONS,NIHAL-SINGH-WALA,350,  5.88 ,PB10CC6921,6,"  5,285 ",  715 ,  -   ,,19230,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930007-08,302221142999-392221144848,SHIV SHAKTI ENTERPRISES,RAJPURA,1010,  12.65 ,PB10GW6019,14,"  7,605 ","  1,395 ",  -   ,,19231,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930010-11,352221153743-352221154775,AMAN TRADING CO,MOGA,400,  6.36 ,HP836748,7,"  4,005 ",  995 ,  500 ,,19232,Aman Road,Club With 19245,RECD,
1/Apr/26,1/Apr/26,0,8631930070,372221379767,CHANNA TRADERS,MOGA,26,  0.42 ,HP836748,,,,,,19245,Aman Road,Club With 19232,RECD,
1/Apr/26,2/Apr/26,1,8631930017-19-20-22-23,302221173663-322221174521-352221175325-342221176127-322221176949,RELIANCE RETAIL LTD,SAMBHU,555,  7.71 ,PB03BK9994,9,"  6,415 ","  2,085 ","  1,110 ",,19233,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930024,312221203190,RAJIV KUMAR & SONS,PATIALA,200,  3.00 ,PB10KJ8947,3,"  2,630 ",  670 ,  -   ,,19234,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930025-26-27-28-29-30,302221206604-382221207247-362221208017-372221208742-312221209370-362221210476,AADHAAR RETAILING LTD,LUDHIANA,882,  12.88 ,PB10GW6019,14,"  3,577 ","  1,573 ","  1,764 ",,19235,Aman Road,,RECD,
1/Apr/26,2/Apr/26,1,8631930031,372221211485,ANAND PARKASH ENTERPRISES,GURDASPUR,300,  2.70 ,PB10HC3852,10,"  10,700 ",  -   ,  -   ,,19236,New Sodhi,Club With 19238,RECD,
1/Apr/26,2/Apr/26,1,8631930035-36,362221221168-312221221824,J P TRADING CO,BATALA,475,  5.07 ,PB10HC3852,,,,,,19238,New Sodhi,Club With 19236,RECD,
1/Apr/26,1/Apr/26,0,8631930034,362221220165,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,430,  7.22 ,PB10JK6861,9,"  4,370 ",  -   ,  -   ,,19237,Aman Road,Club With 19240,Pending,
1/Apr/26,1/Apr/26,0,8631930039,362221254007,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,187,  3.14 ,PB10JK6861,,,,,,19240,Aman Road,Club With 19237,Pending,
1/Apr/26,2/Apr/26,1,8631930043-45-46-48-49,322221281102-322221282460-362221283353-332221284456-312221285664,WAL-MART INDIA PVT LTD,JALLANDHAR,956,  14.21 ,PB10GW6019,14,"  7,195 ","  1,965 ","  1,912 ",,19241,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930060-62,372221366404-312221367636,WAL-MART INDIA PVT LTD,LUDHIANA,790,  11.78 ,PB07X9469,9,"  3,270 ",,"  1,580 ",,19242,Aman Road,,RECD,
1/Apr/26,1/Apr/26,0,8631930061,312221367540,MITTAL SALES CROP,JALLANDHAR,235,  2.68 ,PB10JR5386,3,"  2,125 ",  675 ,  -   ,,19243,Aman Road,,RECD,
1/Apr/26,2/Apr/26,1,8631930065-67-68-77,302221374349-342221375498-392221376764-312221391482,WAL-MART INDIA PVT LTD,LUDHIANA,589,  7.16 ,PB07X9469,9,"  2,150 ",,"  1,178 ",,19244,Aman Road,,RECD,
1/Apr/26,2/Apr/26,1,8631930071-72,302221381477-342221382351,METRO CASH & CARRY,ZIRAKPUR,645,  9.03 ,HR659993,9,"  6,438 ","  4,562 ","  1,613 ","  1,000 ",19246,Aman Road,Holtage 1 Day,RECD,
1/Apr/26,1/Apr/26,0,8631930073-74-75,352221383762-312221386277-392221387274,WAL-MART INDIA PVT LTD,LUDHIANA,460,  6.60 ,PB10JK6861,9,"  1,980 ","  1,520 ",  920 ,,19247,Aman Road,,RECD,
1/Apr/26,2/Apr/26,1,8631930076,372221391419,WAL-MART INDIA PVT LTD,LUDHIANA,425,  6.90 ,PB10JK6861,9,"  2,070 ","  1,430 ",  850 ,,19248,Aman Road,,RECD,
1/Apr/26,2/Apr/26,1,8631930081-82-83-84-85,382221417367-312221419119-332221420117-372221421237-332221422689,WAL-MART INDIA PVT LTD,ZIRAKPUR,795,  11.31 ,PB11CB2467,15,"  9,670 ",  -   ,  885 ,"  2,000 ",19249,Nice Transport,Club with 19311,RECD,
2/Apr/26,2/Apr/26,0,8631930148-49,372222108511-322222109577,AVENUE SUPERMARTS LTD.,ZIRAKPUR,177,  2.26 ,PB11CB2467,,,,,,19311,Nice Transport,Club with 19249,RECD,
2/Apr/26,2/Apr/26,0,8631930100,362221854807,OM PARKASH MEHTA AND BROTHERS,ANANDPUR,228,  3.00 ,PB08DS6626,15,"  2,905 ","  1,595 ",  -   ,,19250,Aman Road,,RECD,
2/Apr/26,3/Apr/26,1,8631930103,322221894728,JALANDHAR AGENCIES,JALLANDHAR,350,  5.25 ,PB10CC6921,5,"  3,185 ","  1,315 ",  -   ,,19301,Aman Road,,RECD,
2/Apr/26,2/Apr/26,0,8631930104,312221899551,KRISHNA TRADERS,BALLOKE,184,  3.09 ,PB10FF1166,3,"  1,235 ",  365 ,  -   ,,19302,Aman Road,,RECD,
2/Apr/26,2/Apr/26,0,8631930106-07,332221914157-312221916272,AVENUE SUPERMARTS LTD.,BARNALA,285,  3.91 ,PB10CC6921,5,"  3,300 ","  1,200 ","  1,425 ",,19303,Aman Road,,RECD,
2/Apr/26,2/Apr/26,0,8631930109-10,362221926557-322221928308,CHAUDHARIYAN DI HATTI,KHAMANO,210,  2.93 ,PB10JR5386,3,"  2,050 ",  750 ,  -   ,,19304,Aman Road,,Pending,
2/Apr/26,3/Apr/26,1,8631930111-12-13,372221955046-312221960068-342221962089,AVENUE SUPERMARTS LTD.,AMRITSAR,225,  3.70 ,PB08BB9296,10,"  12,000 ",  -   ,"  2,860 ",,19305,New Sodhi,Club With 19308-310,RECD,
2/Apr/26,3/Apr/26,1,8631930134-35-37,372222057239-382222058842-352222061867,AVENUE SUPERMARTS LTD.,PHAGWARA,255,  3.60 ,PB08BB9296,,,,,,19308,New Sodhi,Club With 19305-310,RECD,
2/Apr/26,3/Apr/26,1,8631930140-45-46,352222075941-322222099166-302222101171,AVENUE SUPERMARTS LTD.,JALLANDHAR,92,  1.50 ,PB08BB9296,,,,,,19310,New Sodhi,Club With 19305-308,RECD,
2/Apr/26,3/Apr/26,1,8631930119-20,312222016609-352222017787,AVENUE SUPERMARTS LTD.,PATHANKOT,264,  3.63 ,HP12E2922,6,"  8,800 ",,"  1,320 ",,19306,Aman Road,,RECD,
2/Apr/26,3/Apr/26,1,8631930131-32,342222050648-392222051873,AVENUE SUPERMARTS LTD.,GOBINDGARH,240,  3.20 ,HP836748,7,"  6,175 ","  1,525 ","  2,720 ",,19307,Aman Road,Club With 19316,RECD,
3/Apr/26,3/Apr/26,0,8631930183-84,342222605745-362222606504,AVENUE SUPERMARTS LTD.,ZIRAKPUR,304,  3.33 ,HP836748,,,,,,19316,Aman Road,Club With 19307,Pending,
2/Apr/26,3/Apr/26,1,8631930139-41-42,352222071585-312222080831-392222083298,AVENUE SUPERMARTS LTD.,LUDHIANA,190,  2.54 ,PB10JR5386,3,"  1,200 ",  300 ,  950 ,,19309,Aman Road,,RECD,
2/Apr/26,3/Apr/26,1,8631930143-44,392222088909-392222090090,AVENUE SUPERMARTS LTD.,LUDHIANA,89,  1.31 ,PB10FF1166,3,"  1,200 ",  800 ,  445 ,,19312,Aman Road,,RECD,
3/Apr/26,3/Apr/26,0,8631930175,302222494109,SHIV SHAKTI ENTERPRISES,RAJPURA,532,  7.60 ,PB11BN5672,15,"  5,410 ",,  -   ,,19313,Nice Transport,,RECD,
3/Apr/26,3/Apr/26,0,8631930178,302222560301,BALA JI TRADERS,PATIALA,257,  3.40 ,PB10JK6861,9,"  5,410 ","  1,090 ","  2,504 ",,19314,Aman Road,Club With 19315,RECD,
3/Apr/26,3/Apr/26,0,8631930180-81-82,382222602326-372222603061-382222604463,AVENUE SUPERMARTS LTD.,PATIALA,313,  4.40 ,PB10JK6861,,,,,,19315,Aman Road,Club With 19314,RECD,
3/Apr/26,5/Apr/26,2,8631930185-86-87,312222606950-362222607578-382222608605,AVENUE SUPERMARTS LTD.,MOHALI,105,  1.31 ,PB10GY7337,3,"  2,430 ","  2,070 ",  930 ,,19317,New Sodhi,Club With 19318,RECD,
3/Apr/26,5/Apr/26,2,8631930188-89-90,382222610262-322222610925-352222611729,AVENUE SUPERMARTS LTD.,MOHALI,81,  1.07 ,PB10GY7337,,,,,,19318,New Sodhi,Club With 19317,RECD,
3/Apr/26,3/Apr/26,0,8631930191-92,352222642758-322222643707,AVENUE SUPERMARTS LTD.,NAWASAHAR,137,  1.88 ,PB10JR5386,3,"  1,975 ",  825 ,  685 ,,19319,Aman Road,,RECD,
3/Apr/26,3/Apr/26,0,8631930201,382222708215,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,280,  2.91 ,PB10HS8312,3,"  1,374 ",,  -   ,,19320,Self,,RECD,
4/Apr/26,4/Apr/26,0,8631930225-26-27,332223266759--342223267445-302223269478,WAL-MART INDIA PVT LTD,AMRITSAR,432,  5.64 ,PB10JK6861,9,"  9,000 ",,  -   ,,19321,Aman Road,,RECD,
4/Apr/26,4/Apr/26,0,8631930229-30-31,322223326021-342223326535-342223326634,WAL-MART INDIA PVT LTD,JALLANDHAR,375,  5.29 ,PB07X9469,9,"  3,210 ","  1,790 ",  750 ,,19322,Aman Road,,RECD,
4/Apr/26,5/Apr/26,1,8631930240-42,312223400533-342223402992,AVENUE SUPERMARTS LTD.,JALLANDHAR,208,  2.70 ,PB10FF1166,3,"  2,125 ",  875 ,"  1,140 ",,19323,Aman Road,,Pending,
4/Apr/26,4/Apr/26,0,8631930256-57-58,322223453709-322223454434-302223455220,AADHAAR RETAILING LTD,LUDHIANA,267,  3.50 ,PB10GW6019,14,"  1,400 ","  1,100 ",  534 ,,19324,Aman Road,,RECD,
6/Apr/26,6/Apr/26,0,8631930286,342224293999,B.K. SHARMA & CO,MUKERIAN,220,  3.13 ,PB10JR5386,3,"  5,500 ",,  -   ,,19325,Aman Road,,RECD,
6/Apr/26,6/Apr/26,0,8631930292-93,312224348232-372224351382,JALANDHAR AGENCIES,JALLANDHAR,200,  2.50 ,PB08DS6626,3,"  2,125 ",  675 ,  -   ,,19326,Aman Road,,RECD,
6/Apr/26,6/Apr/26,0,8631930294-95-96-97-98,322224351415-302224352962-352224354538-372224356035-352224356886,WAL-MART INDIA PVT LTD,LUDHIANA,244,  3.43 ,PB07X9469,9,"  1,370 ",  630 ,  488 ,,19327,Aman Road,,RECD,
6/Apr/26,7/Apr/26,1,8631930299-300,352224358121-342224359093,AVENUE SUPERMARTS LTD.,LUDHIANA,96,  1.39 ,PB10FF1166,3,"  1,200 ",  800 ,  480 ,,19328,Aman Road,,Pending,
6/Apr/26,6/Apr/26,0,8631930305-07,372224458823-342224459715,AVENUE SUPERMARTS LTD.,LUDHIANA,89,  1.22 ,PB10GY7337,3,"  1,200 ",  300 ,  445 ,,19329,New Sodhi,,RECD,
6/Apr/26,6/Apr/26,0,8631930312-13,312224507242-302224509344,AVENUE SUPERMARTS LTD.,AMRITSAR,476,  6.15 ,PB08BB9296,10,"  9,000 ",,"  2,380 ",,19330,New Sodhi,,RECD,
6/Apr/26,7/Apr/26,1,8631930314-15,362224523256-372224528212,SHIV SHAKTI ENTERPRISES,RAJPURA,729,  7.34 ,PB08BP6377,12,"  5,410 ",,  -   ,,19331,Nice Transport,,RECD,
7/Apr/26,7/Apr/26,0,8631930355,302224956610,JANAK RAJ & SONS,LUDHIANA,650,  8.45 ,PB10JK6861,9,"  2,500 ",  700 ,  -   ,,19332,Aman Road,,RECD,
7/Apr/26,7/Apr/26,0,8631930357-58-59,312225001110-352225002409-342225006622,AMAN TRADING CO,MOGA,475,  7.60 ,PB11CN8710,12,"  6,274 ","  1,226 ",  -   ,,19333,New Sodhi,Club With 19340,RECD,
7/Apr/26,7/Apr/26,0,8631930366-70-71,332225085673-342225096285-332225102550,MAHAVIR TRADING CO,MULLANPUR,325,  4.80 ,PB11CN8710,,,,,,19340,New Sodhi,Club With 19333,RECD,
7/Apr/26,7/Apr/26,0,8631930392,382225252876,EKAM TRADING CO,LUDHIANA,20,  0.40 ,PB10HQ7343,1,  500 ,,  -   ,,19334,Self,,RECD,
7/Apr/26,7/Apr/26,0,8631930363-64,362225078700-312225079539,AVENUE SUPERMARTS LTD.,AMRITSAR,389,  5.47 ,PB06G2315,6,"  8,000 ",,"  1,945 ",,19335,New Sodhi,,RECD,
