,,,,,,,"  46,901 ",  659.20 ,,,"  688,810 ","  138,240 ","  72,476 ","  17,000 ",,"  916,526 ",,,,,
Bill Date,Dispatch Date,Delay,INVOICE NO,E-Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,,,
2/Apr/26,2/Apr/26,0,TX271030000001,322222074882,SATKARTAR TRADING CO.,JALANDHAR,195,  2.79 ,PB02BV9960,3,"  2,500 ",  -   ,  -   ,,17406,NEW SODHI,,RECD,,,
2/Apr/26,2/Apr/26,0,TX271030000002,352221977101,SAI ENTERPRISES,RAMPURA,185,  3.11 ,PB10HY0347,3,"  3,300 ",  -   ,  -   ,,17405,NEW SODHI,,RECD,,,
2/Apr/26,6/Apr/26,4,TX271030000004,372224433396,AVENUE SUPERMARTS LIMITED,PATHANKOT,66,  1.08 ,PB08FB4399,1,"  4,100 ",  400 ,  330 ,,17645,NEW SODHI,,RECD,,,
2/Apr/26,6/Apr/26,4,TX271030000005,382224433399,AVENUE SUPERMARTS LIMITED,AMRITSAR,63,  1.03 ,PB02L9611 ,1,"  2,800 ","  1,200 ",  600 ,,17646,NEW SODHI,Club With LR 17644,RECD,,,
3/Apr/26,6/Apr/26,3,TX271030000010,372224438148,AVENUE SUPERMARTS LIMITED,AMRITSAR,47,  0.57 ,PB02L9611 ,,,,,,17644,NEW SODHI,Club With LR 17646,RECD,,,
2/Apr/26,4/Apr/26,2,TX271030000006,342223404266,METRO CASH & CARRY PVT LTD,JALANDHAR,104,  1.72 ,PB02BV9960,3,"  2,500 ",  -   ,  208 ,,17639,NEW SODHI,,RECD,,,
2/Apr/26,4/Apr/26,2,TX271030000007,352223441493,AVENUE SUPERMARTS LIMITED,SAHNEWAL,53,  0.80 ,PB10CZ1968,1,"  1,000 ",  -   ,  265 ,,17640,NEW SODHI,,RECD,,,
2/Apr/26,3/Apr/26,1,TX271030000008,302222764974,METRO CASH AND CARRY INDIA LIMITED,AMRITSAR,180,  3.01 ,PB02L9611,3,"  4,044 ",  456 ,  360 ,,17637,NEW SODHI,,RECD,,,
3/Apr/26,3/Apr/26,0,TX271030000009,362222807839,AVENUE SUPERMARTS LTD,ZIRAKPUR,210,  2.42 ,PB13BJ8772,3,"  3,600 ",  -   ,"  1,090 ",,17638,NEW SODHI,,RECD,,,
4/Apr/26,6/Apr/26,2,TX271030000012,342223804549,HANDS ON TRADES PRIVATE LIMITED,SAHNEWAL,37,  0.95 ,PB02BV9960 ,1,"  1,000 ",  -   ,  310 ,,17642,NEW SODHI,,RECD,,,
4/Apr/26,5/Apr/26,1,TX271030000013,312223804917,HANDS ON TRADES PRIVATE LIMITED,SHAMBHU,35,  0.97 ,PB13BJ8772 ,1,"  2,400 ",  400 ,  620 ,,17643,NEW SODHI,Club With LR 17641,RECD,,,
4/Apr/26,5/Apr/26,1,TX271030000014,352223804018,AVENUE SUPERMARTS LIMITED,MOHALI,53,  0.77 ,PB13BJ8772,,,,,,17641,NEW SODHI,Club With LR 17643,RECD,,,
6/Apr/26,8/Apr/26,2,TX271030000016,302226018893,AVENUE SUPERMARTS LTD,PEER MUCHALLA,146,  3.00 ,PB10HC3852 ,3,"  7,000 ",  -   ,"  1,210 ",,17650,NEW SODHI,Club With LR 17449,RECD,,,
7/Apr/26,8/Apr/26,1,TX271030000023,302226019937,AVENUE SUPERMARTS LTD,ZIRAKPUR,205,  2.93 ,PB10HC-3852,3,,,"  1,185 ",,17649,NEW SODHI,CLUBE WITH LR 17650,RECD,,,
6/Apr/26,7/Apr/26,1,TX271030000017,302224552463,BRIJ LAL SOHAN LAL,BARNALA,200,  3.00 ,PB02BV9960 ,3,"  2,800 ",  -   ,  -   ,,17409,NEW SODHI,,RECD,,,
6/Apr/26,8/Apr/26,2,TX271030000018,302226008261,SHUBH LAABH ENTERPRISES,GURDASPUR,60,  0.88 ,PB10CZ1968,1,"  3,500 ",  -   ,  -   ,,17417,NEW SODHI,,RECD,,,
7/Apr/26,8/Apr/26,1,TX271030000019,322225814681,OM TRADERS,BARNALA,289,  3.07 ,PB03BH7342,3,"  2,800 ",  -   ,  -   ,,17413,NEW SODHI,,RECD,,,
7/Apr/26,8/Apr/26,1,TX271030000020,312226006028,MITTAL SALE CORPORATION,JALANDHAR,205,  3.02 ,PB02BV9960,3,"  2,500 ",  -   ,  -   ,,17415,NEW SODHI,,RECD,,,
